NAME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Lake Havasu City-Kingman, AZ",0.1,1.2,0.3,-0.1,0.1,0.6,0.4,0.8,1.1,1.4
"Lakeland-Winter Haven, FL",0.2,1.1,0.9,1.2,1.9,2.2,2.6,2.9,3.0,2.5
"Lancaster, PA",0.2,0.7,0.6,0.6,0.6,0.5,0.4,0.6,0.5,0.3
"Lansing-East Lansing, MI",0.0,0.3,0.1,0.2,0.4,0.2,0.7,0.6,0.1,0.3
"Laredo, TX",0.4,1.8,1.8,1.5,1.1,0.9,0.9,0.5,0.5,0.6
"Las Cruces, NM",0.4,1.4,0.6,-0.1,-0.2,0.0,0.3,0.7,0.5,0.4
"Las Vegas-Henderson-Paradise, NV",0.1,0.5,1.4,1.4,1.8,2.1,2.0,2.0,2.0,1.8
"Lawrence, KS",0.3,1.1,0.7,1.2,1.5,1.4,1.3,0.5,0.7,0.9
"Lawton, OK",1.0,0.5,0.3,-1.2,-0.2,-0.7,-1.8,-0.0,-1.0,0.1
"Lebanon, PA",0.1,0.6,0.7,0.2,0.5,0.7,0.7,0.8,1.3,0.3
"Lewiston, ID-WA",0.2,0.6,0.0,0.8,0.2,0.1,0.5,0.6,0.1,0.2
"Lewiston-Auburn, ME",-0.0,-0.3,0.0,-0.2,0.1,-0.2,0.2,0.1,0.5,0.3
"Lexington-Fayette, KY",0.3,1.2,1.3,1.2,0.9,1.3,1.2,1.0,0.5,0.4
"Lima, OH",0.0,-0.3,-0.7,-0.2,-0.2,-0.7,-0.5,-0.5,-0.4,-0.4
"Lincoln, NE",0.3,1.2,1.2,1.2,1.7,1.1,1.3,1.1,0.8,0.8
"Little Rock-North Little Rock-Conway, AR",0.4,1.2,1.0,0.8,0.7,0.4,0.4,0.5,0.3,0.3
"Logan, UT-ID",0.6,1.1,0.9,0.9,0.7,1.4,2.1,1.6,1.7,1.4
"Longview, TX",0.2,0.7,0.2,-0.2,0.2,0.2,-0.0,0.3,0.2,0.5
"Longview, WA",-0.0,-0.0,-0.6,-0.2,0.3,1.2,1.7,1.9,1.8,1.7
"Los Angeles-Long Beach-Anaheim, CA",0.1,0.7,0.7,0.6,0.5,0.5,0.3,0.1,-0.2,-0.3
"Louisville/Jefferson County, KY-IN",0.2,0.6,0.7,1.0,0.6,0.6,0.5,0.6,0.2,0.2
"Lubbock, TX",0.5,1.0,0.8,1.1,1.6,1.3,1.2,1.0,0.7,0.9
"Lynchburg, VA",0.1,0.5,0.6,0.4,0.4,0.6,0.4,0.5,0.4,0.3
"Macon-Bibb County, GA",-0.0,0.2,0.0,-0.7,-0.3,-0.3,-0.3,-0.1,0.3,0.2
"Madera, CA",0.1,0.5,-0.1,-0.1,1.4,0.1,0.2,0.9,0.9,0.3
"Madison, WI",0.2,1.1,1.1,1.1,1.0,1.1,1.3,1.0,0.7,0.7
"Manchester-Nashua, NH",0.1,0.4,0.4,0.2,0.5,0.4,0.6,0.5,0.3,0.6
"Manhattan, KS",1.1,1.7,5.1,-1.1,-0.5,1.0,-2.2,-1.8,0.0,-1.1
"Mankato, MN",0.1,0.5,0.7,-0.3,1.0,0.5,0.9,0.9,0.6,0.3
"Mansfield, OH",-0.3,-0.8,-0.4,-0.3,-0.3,-0.3,-0.4,-0.7,0.5,0.1
"McAllen-Edinburg-Mission, TX",0.6,2.1,1.6,1.3,1.3,1.2,1.1,0.9,0.7,0.7
"Medford, OR",0.1,0.7,0.5,0.6,1.0,1.0,1.4,1.1,1.2,0.7
"Memphis, TN-MS-AR",0.1,0.5,0.6,0.1,0.1,0.1,0.1,0.2,0.3,0.3
"Merced, CA",0.4,1.0,0.6,0.4,0.9,0.7,0.5,1.3,1.1,1.3
"Miami-Fort Lauderdale-Pompano Beach, FL",0.3,1.5,1.3,1.3,1.2,1.3,1.4,1.0,0.4,0.4
"Michigan City-La Porte, IN",-0.0,-0.1,-0.0,0.1,0.3,-0.8,-0.6,-0.3,0.1,-0.1
"Midland, MI",0.0,0.2,-0.1,-0.1,-0.2,0.2,-0.3,-0.1,-0.1,-0.1
"Midland, TX",0.1,2.3,4.7,3.4,2.8,3.4,0.9,0.8,4.1,2.4
"Milwaukee-Waukesha, WI",0.0,0.3,0.4,0.3,0.2,0.1,-0.0,-0.1,-0.0,0.1
"Minneapolis-St. Paul-Bloomington, MN-WI",0.2,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8
"Missoula, MT",0.2,0.7,0.7,0.8,0.8,1.2,1.9,1.3,0.7,0.8
"Mobile, AL",0.1,-0.1,0.1,-0.0,0.0,0.1,0.1,-0.2,-0.1,-0.2
"Modesto, CA",0.1,0.5,0.6,0.6,0.9,1.0,1.1,1.0,0.6,0.5
"Monroe, LA",0.1,0.1,0.1,0.1,0.1,0.0,-0.2,-0.7,-0.9,-0.9
"Monroe, MI",-0.1,-0.3,-0.5,-0.4,-0.2,-0.3,-0.1,0.2,0.5,0.2
"Montgomery, AL",0.2,0.1,-0.2,-0.2,-0.2,-0.0,0.1,0.1,-0.3,0.1
"Morgantown, WV",0.5,1.8,1.6,0.8,1.1,0.8,0.6,0.1,-0.3,-0.1
"Morristown, TN",0.1,0.4,0.1,0.1,0.3,0.7,0.5,0.7,0.6,0.7
"Mount Vernon-Anacortes, WA",0.0,0.5,0.1,0.5,1.4,1.3,1.7,1.8,1.5,1.1
"Muncie, IN",-0.0,0.2,-0.7,-0.2,-0.3,-0.6,-0.1,-0.4,-0.8,-0.1
"Muskegon, MI",-0.2,-1.1,0.1,1.2,-0.0,0.1,0.5,0.2,-0.0,-0.0
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",0.5,1.9,1.9,2.6,3.0,3.5,3.6,3.5,3.6,3.2
"Napa, CA",0.2,0.7,0.6,0.7,0.6,0.3,-0.0,-0.7,-0.8,-0.8
"Naples-Marco Island, FL",0.3,1.5,1.4,2.0,2.4,2.5,2.6,1.9,1.5,1.7
"Nashville-Davidson--Murfreesboro--Franklin, TN",0.3,1.4,1.7,1.8,1.9,2.0,2.0,1.8,1.6,1.5
"New Bern, NC",0.5,0.6,0.2,-1.0,-0.3,-1.1,-0.3,-0.2,-0.1,-0.2
"New Haven-Milford, CT",0.1,0.1,0.1,-0.2,0.0,-0.3,-0.3,-0.0,-0.1,-0.3
"New Orleans-Metairie, LA",0.5,1.5,1.0,1.0,0.7,0.9,0.6,0.2,-0.0,0.0
"New York-Newark-Jersey City, NY-NJ-PA",0.1,0.7,0.5,0.4,0.3,0.2,0.1,-0.1,-0.2,-0.3
"Niles, MI",-0.0,0.1,-0.2,-0.3,-0.1,-0.6,-0.5,-0.1,-0.2,-0.3
"North Port-Sarasota-Bradenton, FL",0.1,0.9,1.5,1.6,2.1,2.6,2.7,2.1,1.9,1.9
"Norwich-New London, CT",-0.0,-0.4,0.4,-0.4,-0.6,-0.7,-0.5,-0.4,-0.4,-0.4
"Ocala, FL",0.0,0.3,0.5,0.4,0.9,1.2,1.5,1.7,1.6,1.8
"Ocean City, NJ",-0.0,-0.7,-0.3,-0.8,-0.6,-0.8,-0.5,-0.6,-0.7,-0.4
"Odessa, TX",-0.0,1.8,3.4,3.4,3.2,3.3,-1.3,-0.6,3.1,2.6
"Ogden-Clearfield, UT",0.4,1.0,1.1,1.5,1.5,1.5,1.9,1.7,1.4,1.5
"Oklahoma City, OK",0.4,1.5,1.6,1.7,1.2,1.5,1.2,0.6,0.9,1.1
"Olympia-Lacey-Tumwater, WA",0.3,1.3,0.8,1.3,1.2,1.1,2.1,2.3,2.0,1.5
"Omaha-Council Bluffs, NE-IA",0.3,1.0,1.0,1.0,1.0,1.1,1.1,0.9,1.0,0.9
"Orlando-Kissimmee-Sanford, FL",0.2,1.7,2.2,2.0,2.3,2.7,2.7,2.5,2.2,1.3
"Oshkosh-Neenah, WI",0.0,0.3,0.6,0.4,0.0,-0.0,0.2,0.4,0.3,0.6
"Owensboro, KY",0.0,0.4,0.6,0.3,0.1,0.8,0.5,0.3,0.4,0.5
"Oxnard-Thousand Oaks-Ventura, CA",0.2,0.6,0.4,0.6,0.5,0.4,0.2,0.2,-0.1,-0.3
"Palm Bay-Melbourne-Titusville, FL",0.1,0.1,0.5,0.6,1.0,1.8,1.9,1.9,1.2,1.1
"Panama City, FL",0.2,0.2,1.3,1.6,2.1,1.8,1.2,0.6,0.8,-6.6
"Parkersburg-Vienna, WV",0.0,-0.1,-0.3,-0.0,-0.1,-0.1,-0.7,-0.7,-1.0,-0.7
"Pensacola-Ferry Pass-Brent, FL",0.4,0.9,1.4,1.2,0.8,1.0,1.2,1.2,1.4,1.6
"Peoria, IL",-0.0,0.2,0.0,0.3,-0.6,-0.6,-0.5,-0.9,-0.9,-0.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",0.1,0.4,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2
"Phoenix-Mesa-Chandler, AZ",0.3,1.1,1.8,1.7,1.9,2.0,2.0,1.8,1.9,2.0
"Pine Bluff, AR",-0.2,-1.1,-1.7,-1.7,-0.9,-0.9,-1.8,-1.7,-1.8,-1.6
"Pittsburgh, PA",0.0,0.1,0.0,-0.0,-0.2,-0.4,-0.3,-0.5,-0.3,-0.2
"Pittsfield, MA",0.0,-0.6,-0.2,-0.6,-0.5,-0.8,-0.6,-0.6,-0.4,-0.8
"Pocatello, ID",0.3,0.6,0.2,-0.4,0.0,0.7,0.5,0.8,1.4,1.2
"Portland-South Portland, ME",-0.0,0.4,0.3,0.5,0.8,0.4,0.6,0.6,0.6,0.6
"Portland-Vancouver-Hillsboro, OR-WA",0.3,1.4,1.1,1.0,1.4,1.6,1.9,1.2,0.7,0.8
"Port St. Lucie, FL",0.3,0.7,0.8,1.0,1.5,2.1,2.4,1.9,1.7,1.7
"Poughkeepsie-Newburgh-Middletown, NY",0.1,0.2,-0.2,-0.0,-0.1,-0.0,0.1,0.4,0.4,0.5
"Prescott Valley-Prescott, AZ",-0.0,0.0,0.4,1.1,1.5,1.4,1.7,1.5,1.6,1.4
"Providence-Warwick, RI-MA",0.1,-0.0,0.2,0.1,0.2,0.1,0.1,0.1,0.4,0.1
"Provo-Orem, UT",0.6,2.0,1.6,2.1,1.7,2.1,3.0,2.7,2.4,2.3
"Pueblo, CO",0.2,0.5,0.3,0.2,0.2,1.0,1.1,0.9,0.7,0.6
"Punta Gorda, FL",-0.1,-0.0,1.8,1.2,2.0,2.5,3.0,2.1,1.8,2.1
"Racine, WI",-0.0,-0.3,-0.2,0.0,0.1,-0.1,0.1,0.5,0.3,-0.0
"Raleigh-Cary, NC",0.6,2.1,2.2,2.1,2.2,2.4,2.5,2.3,2.0,2.1
"Rapid City, SD",0.3,0.9,1.7,1.7,1.4,0.5,1.2,1.4,1.2,1.4
"Reading, PA",0.1,0.2,0.1,0.1,0.2,0.1,0.2,0.4,0.7,0.2
"Redding, CA",0.0,0.2,0.2,0.3,0.2,-0.3,0.1,0.5,0.2,0.2
"Reno, NV",0.1,0.5,0.8,0.8,1.2,1.4,1.6,1.5,1.7,1.5
"Richmond, VA",0.1,0.7,1.2,0.9,1.0,0.9,0.9,0.9,0.9,0.8
"Riverside-San Bernardino-Ontario, CA",0.4,1.2,0.9,0.8,1.0,1.0,1.1,1.2,1.0,0.8
"Roanoke, VA",-0.0,0.2,0.4,0.4,0.3,0.1,-0.2,0.1,0.0,0.1
"Rochester, MN",0.2,0.6,0.5,0.9,0.5,0.6,1.0,0.8,0.8,0.9
"Rochester, NY",0.0,0.1,-0.0,0.0,-0.2,-0.3,-0.3,-0.2,-0.0,-0.2
"Rockford, IL",-0.1,-0.4,-0.6,-0.3,-0.7,-0.5,-0.3,-0.4,-0.3,-0.3
"Rocky Mount, NC",0.0,-0.4,-0.6,-0.7,-0.5,-1.0,-0.2,-0.3,-0.5,-0.2
"Rome, GA",0.1,-0.3,-0.2,-0.1,-0.0,0.3,0.5,0.8,0.5,0.5
"Sacramento-Roseville-Folsom, CA",0.2,0.9,0.8,0.9,1.1,1.2,1.2,1.2,1.0,0.9
"Saginaw, MI",-0.2,-0.5,-0.3,-0.8,-0.8,-1.0,-0.4,-0.3,-0.6,-0.1
"St. Cloud, MN",0.1,0.5,0.2,0.5,0.8,1.2,0.8,0.8,0.9,0.9
"St. George, UT",0.2,2.0,2.0,1.9,2.7,2.3,3.0,4.0,3.3,3.4
"St. Joseph, MO-KS",-0.0,0.3,0.2,-0.2,-0.3,-0.4,-0.1,-0.2,-0.3,-0.6
"St. Louis, MO-IL",0.1,0.2,0.1,0.1,0.1,0.1,-0.1,0.0,-0.1,-0.0
"Salem, OR",0.2,0.6,0.5,0.5,1.0,1.5,2.1,1.7,1.4,0.8
"Salinas, CA",0.3,1.0,1.0,0.5,0.4,0.5,0.8,0.1,-0.1,0.0
"Salisbury, MD-DE",0.3,0.9,0.8,0.9,1.1,1.2,1.3,1.4,1.4,1.4
"Salt Lake City, UT",0.3,1.4,1.5,1.4,1.0,1.2,1.7,1.6,1.2,1.1
"San Angelo, TX",0.4,1.0,1.3,1.2,1.4,1.0,0.1,-0.1,0.4,1.0
"San Antonio-New Braunfels, TX",0.5,1.9,1.9,1.9,2.1,2.1,1.9,1.9,1.6,1.5
"San Diego-Chula Vista-Carlsbad, CA",0.3,1.1,1.2,1.1,1.2,1.0,0.8,0.5,0.4,0.1
"San Francisco-Oakland-Berkeley, CA",0.2,1.2,1.3,1.4,1.4,1.4,0.9,0.5,0.3,0.1
"San Jose-Sunnyvale-Santa Clara, CA",0.3,1.4,1.4,1.5,1.3,1.3,0.7,0.3,0.1,-0.2
"San Luis Obispo-Paso Robles, CA",0.1,0.5,1.1,0.6,0.9,0.7,0.6,0.2,0.3,-0.1
"Santa Cruz-Watsonville, CA",0.3,0.6,0.6,0.9,0.8,1.0,0.3,0.2,-0.4,-0.2
"Santa Fe, NM",0.2,0.9,0.6,0.5,0.2,0.2,0.4,0.5,0.2,0.4
"Santa Maria-Santa Barbara, CA",0.1,0.3,1.0,1.1,1.0,0.7,0.5,0.2,0.1,0.2
"Santa Rosa-Petaluma, CA",0.2,0.5,0.5,0.8,0.9,0.5,0.3,-0.0,-0.8,-0.9
"Savannah, GA",0.3,2.0,1.7,0.9,1.7,1.7,1.4,0.8,0.8,1.0
"Scranton--Wilkes-Barre, PA",0.0,-0.0,0.0,-0.4,-0.2,-0.4,-0.4,-0.0,-0.1,-0.2
"Seattle-Tacoma-Bellevue, WA",0.3,1.6,1.5,1.5,1.7,1.7,2.0,1.8,1.3,1.1
"Sebastian-Vero Beach, FL",0.2,0.6,1.0,1.0,1.8,2.0,2.5,2.0,1.9,1.7
"Sebring-Avon Park, FL",-0.2,-0.2,-0.3,-0.1,0.5,1.6,1.9,1.7,1.0,1.2
"Sheboygan, WI",0.0,-0.3,-0.4,-0.1,0.2,0.2,-0.1,0.1,0.1,0.1
"Sherman-Denison, TX",0.1,0.3,0.3,0.4,1.0,1.6,2.1,2.2,2.0,1.8
"Shreveport-Bossier City, LA",0.3,1.0,0.9,-0.3,-0.4,-0.1,-0.5,-0.4,-0.7,-0.7
"Sierra Vista-Douglas, AZ",0.4,1.0,-0.8,-1.9,-1.8,-0.7,-0.6,-0.7,1.2,-0.4
"Sioux City, IA-NE-SD",0.2,0.2,-0.3,-0.1,-0.0,0.1,0.1,-0.5,0.4,0.6
"Sioux Falls, SD",0.4,1.3,2.1,2.0,1.8,1.6,1.8,2.1,1.4,1.6
"South Bend-Mishawaka, IN-MI",-0.0,-0.1,-0.2,0.1,0.2,0.1,0.4,0.1,0.4,0.3
"Spartanburg, SC",0.1,0.5,0.7,0.8,0.9,1.2,1.4,1.9,2.4,1.8
"Spokane-Spokane Valley, WA",0.2,0.3,0.4,0.5,0.9,1.1,1.6,1.7,1.5,1.7
"Springfield, IL",0.1,0.6,0.2,-0.2,-0.0,-0.2,-0.4,-0.5,-0.7,-0.5
"Springfield, MA",0.3,0.4,0.1,0.1,0.2,-0.1,-0.1,-0.1,0.1,-0.4
"Springfield, MO",0.1,0.7,0.9,0.9,0.7,0.9,0.5,0.9,0.9,0.9
"Springfield, OH",-0.0,-0.3,-0.5,-0.4,-0.2,-0.4,-0.8,-0.1,-0.0,-0.3
"State College, PA",0.1,0.5,0.5,1.5,0.9,0.5,1.0,0.2,0.2,-0.1
"Staunton, VA",-0.2,0.4,-0.3,0.5,0.3,0.5,0.6,0.8,0.7,0.4
"Stockton, CA",0.3,1.0,0.7,0.3,1.3,1.5,1.4,1.4,1.2,1.3
"Sumter, SC",0.1,-0.4,0.1,-0.1,-0.1,-0.5,0.1,-0.6,-0.2,0.2
"Syracuse, NY",0.1,-0.1,-0.2,0.1,-0.3,-0.4,-0.5,-0.5,-0.1,-0.3
"Tallahassee, FL",0.2,0.5,1.1,-0.6,0.6,0.6,0.3,1.2,0.3,0.8
"Tampa-St. Petersburg-Clearwater, FL",0.2,0.9,1.1,1.3,1.6,1.9,2.1,1.9,1.5,1.3
"Terre Haute, IN",-0.1,0.0,0.0,-0.2,-0.5,-0.5,-0.1,-0.2,-0.1,-0.2
"Texarkana, TX-AR",0.1,0.1,0.1,-0.1,-0.2,0.0,0.2,0.0,-0.1,-0.4
"The Villages, FL",0.9,3.8,3.6,4.9,4.8,4.1,4.0,2.4,2.9,2.8
"Toledo, OH",-0.0,-0.2,-0.2,-0.1,-0.2,-0.2,-0.1,-0.2,-0.2,-0.2
"Topeka, KS",0.2,0.2,-0.1,-0.2,-0.1,-0.1,-0.2,-0.1,-0.3,-0.1
"Trenton-Princeton, NJ",0.1,-0.1,0.3,0.2,-0.1,-0.2,-0.1,0.1,0.0,-0.2
"Tucson, AZ",0.1,0.7,0.5,0.4,0.7,0.5,0.7,0.9,1.0,1.0
"Tulsa, OK",0.2,0.6,0.7,1.0,0.8,1.2,0.8,0.3,0.2,0.5
"Tuscaloosa, AL",0.1,0.4,0.8,0.8,1.1,0.8,0.4,0.3,0.1,0.3
"Twin Falls, ID",0.4,0.6,0.5,1.5,1.2,1.2,1.9,1.7,0.9,1.1
"Tyler, TX",0.3,1.1,1.0,0.8,1.4,1.2,1.2,0.9,1.1,1.3
"Urban Honolulu, HI",0.3,1.1,1.1,0.8,0.1,0.4,0.1,-0.6,-0.7,-0.5
"Utica-Rome, NY",-0.0,-0.2,-0.2,-0.3,-0.4,-0.7,-0.4,-0.2,-0.3,-0.4
"Valdosta, GA",0.3,1.4,1.5,-0.8,0.3,-0.1,0.8,0.6,0.5,0.8
"Vallejo, CA",0.2,0.6,0.8,0.9,1.2,1.0,1.2,1.0,0.5,0.4
"Victoria, TX",0.1,0.7,1.7,1.1,1.0,1.1,0.3,-0.3,-0.1,0.3
"Vineland-Bridgeton, NJ",0.0,0.2,-0.1,-0.5,-0.1,-0.8,-1.0,-1.2,-0.5,-0.7
"Virginia Beach-Norfolk-Newport News, VA-NC",0.2,0.4,0.6,0.4,0.5,0.3,0.1,0.1,0.2,0.3
"Visalia, CA",0.2,0.9,0.7,0.6,0.6,0.4,0.5,0.7,0.5,0.3
"Waco, TX",0.4,0.7,0.5,0.7,0.6,0.9,0.8,1.5,0.9,0.9
"Walla Walla, WA",0.2,0.9,-0.2,0.1,0.3,0.7,0.1,0.8,0.2,0.2
"Warner Robins, GA",0.5,1.8,1.2,0.6,0.6,0.3,1.2,0.9,1.5,1.4
"Washington-Arlington-Alexandria, DC-VA-MD-WV",0.5,1.8,1.6,1.4,1.1,1.0,0.9,1.0,0.6,0.5
"Waterloo-Cedar Falls, IA",0.1,0.3,0.2,0.6,0.4,0.2,-0.4,-0.4,-0.3,-0.2
"Watertown-Fort Drum, NY",0.3,1.0,2.1,-1.5,-0.4,-1.4,-3.0,0.2,-1.2,-1.9
"Wausau-Weston, WI",0.0,0.0,0.0,0.2,0.0,-0.0,-0.2,0.2,-0.1,0.1
"Weirton-Steubenville, WV-OH",-0.1,-0.7,-0.7,-0.4,-0.5,-0.7,-1.2,-1.0,-0.9,-0.8
"Wenatchee, WA",0.3,0.5,0.7,0.4,0.7,1.5,1.4,0.9,1.0,0.9
"Wheeling, WV-OH",-0.0,-0.4,-0.5,-0.4,-0.7,-0.6,-0.8,-1.2,-0.9,-0.8
"Wichita, KS",0.1,0.2,0.5,0.3,0.4,0.4,0.3,-0.0,0.0,0.4
"Wichita Falls, TX",0.1,-0.9,0.5,0.3,0.3,-1.2,0.2,0.4,-0.0,0.2
"Williamsport, PA",0.1,0.4,0.4,-0.5,-0.3,-0.6,-0.6,-0.8,-0.1,-0.5
"Wilmington, NC",0.3,1.3,1.4,1.8,1.5,1.8,2.4,2.0,1.6,1.1
"Winchester, VA-WV",0.2,1.0,0.7,1.0,0.9,0.6,1.1,1.7,1.1,0.8
"Winston-Salem, NC",0.1,0.5,0.4,0.5,0.5,0.5,0.7,0.8,0.7,0.7
"Worcester, MA-CT",0.2,0.4,0.3,0.4,0.4,0.2,0.2,0.6,0.4,0.1
"Yakima, WA",0.4,0.7,0.1,0.1,0.2,0.4,0.6,0.2,0.3,0.1
"York-Hanover, PA",0.1,0.3,0.2,0.3,0.4,0.3,0.4,0.4,0.5,0.3
"Youngstown-Warren-Boardman, OH-PA",-0.2,-0.4,-0.7,-0.5,-0.5,-0.8,-0.8,-0.6,-0.6,-0.4
"Yuba City, CA",0.1,-0.1,-0.0,0.4,0.4,0.6,0.8,1.2,0.6,1.0
"Yuma, AZ",0.7,2.8,-0.2,-0.0,0.8,0.6,1.0,1.1,1.0,1.0
