City,State[c],2019 estimate,2010 Census,Change,2016 land area (mi),2016 land area (km),2016 population density (mi),2016 population density (km),Location
Springfield, Missouri,167882,159498,0.0526,82.3 sq mi,213.2 km2,"2,033/sq mi",785/km2,37.1942°N 93.2913°W
Jackson, Mississippi,160628,173514,−7.43%,111.0 sq mi,287.5 km2,"1,524/sq mi",588/km2,32.3158°N 90.2128°W
Alexandria[m], Virginia,159428,139966,0.139,15.0 sq mi,38.8 km2,"10,387/sq mi","4,010/km2",38.8201°N 77.0841°W
Hayward, California,159203,144186,0.1042,45.5 sq mi,117.8 km2,"3,493/sq mi","1,349/km2",37.6287°N 122.1024°W
Clarksville, Tennessee,158146,132929,0.1897,98.3 sq mi,254.6 km2,"1,529/sq mi",590/km2,36.5664°N 87.3452°W
Lakewood, Colorado,157935,142980,0.1046,42.9 sq mi,111.1 km2,"3,599/sq mi","1,390/km2",39.6989°N 105.1176°W
Lancaster, California,157601,156633,0.0062,94.3 sq mi,244.2 km2,"1,698/sq mi",656/km2,34.6936°N 118.1753°W
Salinas, California,155465,150441,0.0334,23.6 sq mi,61.1 km2,"6,662/sq mi","2,572/km2",36.6902°N 121.6337°W
Palmdale, California,155079,152750,0.0152,106.0 sq mi,274.5 km2,"1,484/sq mi",573/km2,34.5910°N 118.1054°W
Hollywood, Florida,154817,140768,0.0998,27.3 sq mi,70.7 km2,"5,568/sq mi","2,150/km2",26.0310°N 80.1646°W
Springfield, Massachusetts,153606,153060,0.0036,31.9 sq mi,82.6 km2,"4,830/sq mi","1,860/km2",42.1155°N 72.5400°W
Macon[w], Georgia,153159,91351,0.6766,249.3 sq mi,645.7 km2,612/sq mi,236/km2,32.8088°N 83.6942°W
Kansas City[x], Kansas,152960,145786,0.0492,124.8 sq mi,323.2 km2,"1,216/sq mi",470/km2,39.1225°N 94.7418°W
Sunnyvale, California,152703,140081,0.0901,22.0 sq mi,57.0 km2,"6,944/sq mi","2,681/km2",37.3858°N 122.0263°W
Pomona, California,151691,149058,0.0177,23.0 sq mi,59.6 km2,"6,630/sq mi","2,560/km2",34.0585°N 117.7611°W
Killeen, Texas,151666,127921,0.1856,53.5 sq mi,138.6 km2,"2,680/sq mi","1,030/km2",31.0777°N 97.7320°W
Escondido, California,151625,143911,0.0536,37.1 sq mi,96.1 km2,"4,087/sq mi","1,578/km2",33.1331°N 117.0740°W
Pasadena, Texas,151227,149043,0.0147,43.5 sq mi,112.7 km2,"3,525/sq mi","1,361/km2",29.6586°N 95.1506°W
Naperville, Illinois,148449,141853,0.0465,38.7 sq mi,100.2 km2,"3,802/sq mi","1,468/km2",41.7492°N 88.1620°W
Bellevue, Washington,148164,122363,0.2109,33.5 sq mi,86.8 km2,"4,221/sq mi","1,630/km2",47.5979°N 122.1565°W
Joliet, Illinois,147344,147433,−0.06%,64.4 sq mi,166.8 km2,"2,302/sq mi",889/km2,41.5177°N 88.1488°W
Murfreesboro, Tennessee,146900,108755,0.3507,55.9 sq mi,144.8 km2,"2,360/sq mi",910/km2,35.8522°N 86.4160°W
Midland, Texas,146038,111147,0.3139,74.4 sq mi,192.7 km2,"1,809/sq mi",698/km2,32.0246°N 102.1135°W
Rockford, Illinois,145609,152871,−4.75%,63.5 sq mi,164.5 km2,"2,325/sq mi",898/km2,42.2588°N 89.0646°W
Paterson, New Jersey,145233,146199,−0.66%,8.4 sq mi,21.8 km2,"17,500/sq mi","6,800/km2",40.9148°N 74.1628°W
Savannah, Georgia,144464,136286,0.06,103.6 sq mi,268.3 km2,"1,417/sq mi",547/km2,32.0025°N 81.1536°W
Bridgeport, Connecticut,144399,144229,0.0012,16.1 sq mi,41.7 km2,"9,064/sq mi","3,500/km2",41.1874°N 73.1958°W
Torrance, California,143592,145438,−1.27%,20.5 sq mi,53.1 km2,"7,180/sq mi","2,770/km2",33.8350°N 118.3414°W
McAllen, Texas,143268,129877,0.1031,58.4 sq mi,151.3 km2,"2,435/sq mi",940/km2,26.2322°N 98.2464°W
Syracuse, New York,142327,145170,−1.96%,25.0 sq mi,64.7 km2,"5,735/sq mi","2,214/km2",43.0410°N 76.1436°W
Surprise, Arizona,141664,117517,0.2055,107.9 sq mi,279.5 km2,"1,230/sq mi",470/km2,33.6706°N 112.4527°W
Denton, Texas,141541,113383,0.2483,93.4 sq mi,241.9 km2,"1,433/sq mi",553/km2,33.2166°N 97.1414°W
Roseville, California,141500,118788,0.1912,43.0 sq mi,111.4 km2,"3,085/sq mi","1,191/km2",38.7690°N 121.3189°W
Thornton, Colorado,141464,118772,0.1911,35.7 sq mi,92.5 km2,"3,829/sq mi","1,478/km2",39.9194°N 104.9428°W
Miramar, Florida,141191,122041,0.1569,29.4 sq mi,76.1 km2,"4,709/sq mi","1,818/km2",25.9770°N 80.3358°W
Pasadena, California,141029,137122,0.0285,23.0 sq mi,59.6 km2,"6,176/sq mi","2,385/km2",34.1606°N 118.1396°W
Mesquite, Texas,140937,139824,0.008,47.2 sq mi,122.2 km2,"3,045/sq mi","1,176/km2",32.7629°N 96.5888°W
Olathe, Kansas,140545,125872,0.1166,60.9 sq mi,157.7 km2,"2,225/sq mi",859/km2,38.8843°N 94.8195°W
Dayton, Ohio,140407,141527,−0.79%,55.7 sq mi,144.3 km2,"2,522/sq mi",974/km2,39.7774°N 84.1996°W
Carrollton, Texas,139248,119097,0.1692,36.3 sq mi,94.0 km2,"3,674/sq mi","1,419/km2",32.9884°N 96.8998°W
Waco, Texas,139236,124805,0.1156,89.0 sq mi,230.5 km2,"1,510/sq mi",580/km2,31.5601°N 97.1860°W
Orange, California,138669,136416,0.0165,25.4 sq mi,65.8 km2,"5,532/sq mi","2,136/km2",33.7870°N 117.8613°W
Fullerton, California,138632,135161,0.0257,22.4 sq mi,58.0 km2,"6,282/sq mi","2,425/km2",33.8857°N 117.9280°W
Charleston, South Carolina,137566,120083,0.1456,109.0 sq mi,282.3 km2,"1,233/sq mi",476/km2,32.8179°N 79.9590°W
West Valley City, Utah,135248,129480,0.0445,35.5 sq mi,91.9 km2,"3,847/sq mi","1,485/km2",40.6885°N 112.0118°W
Visalia, California,134605,124442,0.0817,37.5 sq mi,97.1 km2,"3,495/sq mi","1,349/km2",36.3273°N 119.3289°W
Hampton[m], Virginia,134510,137436,−2.13%,51.5 sq mi,133.4 km2,"2,629/sq mi","1,015/km2",37.0480°N 76.2971°W
Gainesville, Florida,133997,124354,0.0775,62.3 sq mi,161.4 km2,"2,112/sq mi",815/km2,29.6788°N 82.3461°W
Warren, Michigan,133943,134056,−0.08%,34.4 sq mi,89.1 km2,"3,928/sq mi","1,517/km2",42.4929°N 83.0250°W
Coral Springs, Florida,133759,121096,0.1046,23.8 sq mi,61.6 km2,"5,465/sq mi","2,110/km2",26.2707°N 80.2593°W
Cedar Rapids, Iowa,133562,126326,0.0573,70.8 sq mi,183.4 km2,"1,852/sq mi",715/km2,41.9670°N 91.6778°W
Round Rock, Texas,133372,99887,0.3352,35.6 sq mi,92.2 km2,"3,396/sq mi","1,311/km2",30.5252°N 97.6660°W
Sterling Heights, Michigan,132438,129699,0.0211,36.5 sq mi,94.5 km2,"3,628/sq mi","1,401/km2",42.5812°N 83.0303°W
Kent, Washington,132319,92411,0.4319,33.7 sq mi,87.3 km2,"3,784/sq mi","1,461/km2",47.3880°N 122.2127°W
Columbia, South Carolina,131674,129272,0.0186,133.5 sq mi,345.8 km2,"1,006/sq mi",388/km2,34.0291°N 80.8980°W
Santa Clara, California,130365,116468,0.1193,18.4 sq mi,47.7 km2,"6,845/sq mi","2,643/km2",37.3646°N 121.9679°W
New Haven, Connecticut,130250,129779,0.0036,18.7 sq mi,48.4 km2,"6,948/sq mi","2,683/km2",41.3108°N 72.9250°W
Stamford, Connecticut,129638,122643,0.057,37.6 sq mi,97.4 km2,"3,434/sq mi","1,326/km2",41.0799°N 73.5460°W
Concord, California,129295,122067,0.0592,30.5 sq mi,79.0 km2,"4,221/sq mi","1,630/km2",37.9722°N 122.0016°W
Elizabeth, New Jersey,129216,124969,0.034,12.3 sq mi,31.9 km2,"10,459/sq mi","4,038/km2",40.6664°N 74.1935°W
Athens[y], Georgia,126913,115452,0.0993,116.4 sq mi,301.5 km2,"1,060/sq mi",410/km2,33.9496°N 83.3701°W
Thousand Oaks, California,126813,126683,0.001,55.2 sq mi,143.0 km2,"2,335/sq mi",902/km2,34.1933°N 118.8742°W
Lafayette[z], Louisiana,126185,120623,0.0461,53.8 sq mi,139.3 km2,"2,372/sq mi",916/km2,30.2074°N 92.0285°W
Simi Valley, California,125613,124237,0.0111,41.5 sq mi,107.5 km2,"3,044/sq mi","1,175/km2",34.2669°N 118.7485°W
Topeka, Kansas,125310,127473,−1.70%,61.5 sq mi,159.3 km2,"2,062/sq mi",796/km2,39.0347°N 95.6962°W
Norman, Oklahoma,124880,110925,0.1258,178.8 sq mi,463.1 km2,683/sq mi,264/km2,35.2406°N 97.3453°W
Fargo, North Dakota,124662,105549,0.1811,49.3 sq mi,127.7 km2,"2,450/sq mi",950/km2,46.8652°N 96.8290°W
Wilmington, North Carolina,123744,106476,0.1622,51.6 sq mi,133.6 km2,"2,278/sq mi",880/km2,34.2092°N 77.8858°W
Abilene, Texas,123420,117063,0.0543,106.7 sq mi,276.4 km2,"1,146/sq mi",442/km2,32.4545°N 99.7381°W
Odessa, Texas,123334,99940,0.2341,45.2 sq mi,117.1 km2,"2,608/sq mi","1,007/km2",31.8838°N 102.3411°W
Columbia, Missouri,123195,108500,0.1354,65.0 sq mi,168.3 km2,"1,856/sq mi",717/km2,38.951561°N 92.328638°W
Pearland, Texas,122460,91252,0.342,46.3 sq mi,119.9 km2,"2,453/sq mi",947/km2,29.5558°N 95.3231°W
Victorville, California,122385,115903,0.0559,73.3 sq mi,189.8 km2,"1,668/sq mi",644/km2,34.5277°N 117.3536°W
Hartford, Connecticut,122105,124775,−2.14%,17.4 sq mi,45.1 km2,"7,083/sq mi","2,735/km2",41.7659°N 72.6816°W
Vallejo, California,121692,115942,0.0496,30.7 sq mi,79.5 km2,"3,951/sq mi","1,525/km2",38.1079°N 122.2640°W
Allentown, Pennsylvania,121442,118032,0.0289,17.5 sq mi,45.3 km2,"6,882/sq mi","2,657/km2",40.5936°N 75.4784°W
Berkeley, California,121363,112580,0.078,10.5 sq mi,27.2 km2,"11,547/sq mi","4,458/km2",37.8670°N 122.2991°W
Richardson, Texas,121323,99223,0.2227,28.6 sq mi,74.1 km2,"3,963/sq mi","1,530/km2",32.9723°N 96.7081°W
Arvada, Colorado,121272,106433,0.1394,38.6 sq mi,100.0 km2,"3,043/sq mi","1,175/km2",39.8337°N 105.1503°W
Ann Arbor, Michigan,119980,113934,0.0531,28.1 sq mi,72.8 km2,"4,298/sq mi","1,659/km2",42.2761°N 83.7309°W
Rochester, Minnesota,118935,106769,0.1139,54.6 sq mi,141.4 km2,"2,088/sq mi",806/km2,44.0154°N 92.4772°W
Cambridge, Massachusetts,118927,105162,0.1309,6.4 sq mi,16.6 km2,"17,289/sq mi","6,675/km2",42.3760°N 71.1187°W
Sugar Land, Texas,118488,78817,0.5033,34.0 sq mi,88.1 km2,"3,488/sq mi","1,347/km2",29.5994°N 95.6142°W
Lansing, Michigan,118210,114297,0.0342,39.1 sq mi,101.3 km2,"2,967/sq mi","1,146/km2",42.7143°N 84.5593°W
Evansville, Indiana,117979,117429,0.0047,47.3 sq mi,122.5 km2,"2,526/sq mi",975/km2,37.9877°N 87.5347°W
College Station, Texas,117911,93857,0.2563,51.0 sq mi,132.1 km2,"2,199/sq mi",849/km2,30.5852°N 96.2964°W
Fairfield, California,117133,105321,0.1122,40.9 sq mi,105.9 km2,"2,806/sq mi","1,083/km2",38.2593°N 122.0321°W
Clearwater, Florida,116946,107685,0.086,25.9 sq mi,67.1 km2,"4,415/sq mi","1,705/km2",27.9789°N 82.7666°W
Beaumont, Texas,116825,118296,−1.24%,82.1 sq mi,212.6 km2,"1,441/sq mi",556/km2,30.0849°N 94.1453°W
Independence, Missouri,116672,116830,−0.14%,77.8 sq mi,201.5 km2,"1,504/sq mi",581/km2,39.0855°N 94.3521°W
Provo, Utah,116618,112488,0.0367,41.7 sq mi,108.0 km2,"2,803/sq mi","1,082/km2",40.2453°N 111.6448°W
West Jordan, Utah,116480,103712,0.1231,32.3 sq mi,83.7 km2,"3,520/sq mi","1,360/km2",40.6024°N 112.0008°W
Murrieta, California,116223,103466,0.1233,33.6 sq mi,87.0 km2,"3,324/sq mi","1,283/km2",33.5721°N 117.1904°W
Palm Bay, Florida,115552,103190,0.1198,65.7 sq mi,170.2 km2,"1,676/sq mi",647/km2,27.9856°N 80.6626°W
El Monte, California,115487,113475,0.0177,9.6 sq mi,24.9 km2,"12,063/sq mi","4,658/km2",34.0746°N 118.0291°W
Carlsbad, California,115382,105328,0.0955,37.7 sq mi,97.6 km2,"3,023/sq mi","1,167/km2",33.1239°N 117.2828°W
North Charleston, South Carolina,115382,97471,0.1838,73.7 sq mi,190.9 km2,"1,483/sq mi",573/km2,32.9178°N 80.0650°W
Temecula, California,114761,100097,0.1465,37.3 sq mi,96.6 km2,"3,031/sq mi","1,170/km2",33.4931°N 117.1317°W
Clovis, California,114584,95631,0.1982,24.2 sq mi,62.7 km2,"4,404/sq mi","1,700/km2",36.8282°N 119.6849°W
Springfield, Illinois,114230,116250,−1.74%,60.1 sq mi,155.7 km2,"1,925/sq mi",743/km2,39.7911°N 89.6446°W
Meridian, Idaho,114161,75092,0.5203,29.8 sq mi,77.2 km2,"3,584/sq mi","1,384/km2",43.6142°N 116.3989°W
Westminster, Colorado,113166,106114,0.0665,31.7 sq mi,82.1 km2,"3,592/sq mi","1,387/km2",39.8822°N 105.0644°W
Costa Mesa, California,113003,109960,0.0277,15.7 sq mi,40.7 km2,"7,186/sq mi","2,775/km2",33.6659°N 117.9123°W
High Point, North Carolina,112791,104371,0.0807,55.2 sq mi,143.0 km2,"2,015/sq mi",778/km2,35.9900°N 79.9905°W
Manchester, New Hampshire,112673,109565,0.0284,33.1 sq mi,85.7 km2,"3,339/sq mi","1,289/km2",42.9849°N 71.4441°W
Pueblo, Colorado,112361,106595,0.0541,53.6 sq mi,138.8 km2,"2,058/sq mi",795/km2,38.2699°N 104.6123°W
Lakeland, Florida,112136,97422,0.151,65.9 sq mi,170.7 km2,"1,615/sq mi",624/km2,28.0555°N 81.9549°W
Pompano Beach, Florida,112118,99845,0.1229,24.0 sq mi,62.2 km2,"4,558/sq mi","1,760/km2",26.2416°N 80.1339°W
West Palm Beach, Florida,111955,99919,0.1205,55.1 sq mi,142.7 km2,"1,963/sq mi",758/km2,26.7464°N 80.1251°W
Antioch, California,111502,102372,0.0892,29.4 sq mi,76.1 km2,"3,772/sq mi","1,456/km2",37.9791°N 121.7962°W
Everett, Washington,111475,103019,0.0821,33.3 sq mi,86.2 km2,"3,275/sq mi","1,264/km2",47.9566°N 122.1914°W
Downey, California,111126,111772,−0.58%,12.4 sq mi,32.1 km2,"9,134/sq mi","3,527/km2",33.9382°N 118.1309°W
Lowell, Massachusetts,110997,106519,0.042,13.6 sq mi,35.2 km2,"8,129/sq mi","3,139/km2",42.6390°N 71.3211°W
Centennial, Colorado,110937,100377,0.1052,29.5 sq mi,76.4 km2,"3,727/sq mi","1,439/km2",39.5906°N 104.8691°W
Elgin, Illinois,110849,108188,0.0246,37.4 sq mi,96.9 km2,"2,998/sq mi","1,158/km2",42.0396°N 88.3217°W
Richmond, California,110567,103701,0.0662,30.1 sq mi,78.0 km2,"3,648/sq mi","1,409/km2",37.9523°N 122.3606°W
Peoria, Illinois,110417,115007,−3.99%,48.2 sq mi,124.8 km2,"2,371/sq mi",915/km2,40.7515°N 89.6174°W
Broken Arrow, Oklahoma,110198,98850,0.1148,61.7 sq mi,159.8 km2,"1,741/sq mi",672/km2,36.0365°N 95.7810°W
Miami Gardens, Florida,110001,107167,0.0264,18.2 sq mi,47.1 km2,"6,212/sq mi","2,398/km2",25.9489°N 80.2436°W
Billings, Montana,109577,104170,0.0519,43.7 sq mi,113.2 km2,"2,525/sq mi",975/km2,45.7885°N 108.5499°W
Jurupa Valley, California,109527,0,NA[aa],42.9 sq mi,111.1 km2,"2,414/sq mi",932/km2,34.0026°N 117.4676°W
Sandy Springs, Georgia,109452,93853,0.1662,37.7 sq mi,97.6 km2,"2,804/sq mi","1,083/km2",33.9315°N 84.3687°W
Gresham, Oregon,109381,105594,0.0359,23.3 sq mi,60.3 km2,"4,786/sq mi","1,848/km2",45.5023°N 122.4416°W
Lewisville, Texas,109212,95290,0.1461,36.7 sq mi,95.1 km2,"2,852/sq mi","1,101/km2",33.0466°N 96.9818°W
Hillsboro, Oregon,109128,91611,0.1912,25.0 sq mi,64.7 km2,"4,207/sq mi","1,624/km2",45.5280°N 122.9357°W
Ventura[ab], California,109106,106433,0.0251,21.8 sq mi,56.5 km2,"5,027/sq mi","1,941/km2",34.2678°N 119.2542°W
Greeley, Colorado,108649,92889,0.1697,47.8 sq mi,123.8 km2,"2,176/sq mi",840/km2,40.4153°N 104.7697°W
Inglewood, California,108151,109673,−1.39%,9.1 sq mi,23.6 km2,"12,160/sq mi","4,700/km2",33.9561°N 118.3443°W
Waterbury, Connecticut,107568,110366,−2.54%,28.5 sq mi,73.8 km2,"3,799/sq mi","1,467/km2",41.5585°N 73.0367°W
League City, Texas,107536,83560,0.2869,51.2 sq mi,132.6 km2,"1,992/sq mi",769/km2,29.4901°N 95.1091°W
Santa Maria, California,107263,99553,0.0774,22.8 sq mi,59.1 km2,"4,662/sq mi","1,800/km2",34.9332°N 120.4438°W
Tyler, Texas,106985,96900,0.1041,56.6 sq mi,146.6 km2,"1,852/sq mi",715/km2,32.3173°N 95.3059°W
Davie[ac], Florida,106306,91992,0.1556,34.9 sq mi,90.4 km2,"2,919/sq mi","1,127/km2",26.0791°N 80.2850°W
Lakewood[ad], New Jersey,106300,92843,0.1449,24.7 sq mi,64.0 km2,"4,079/sq mi","1,575/km2",40.0771°N 74.2004°W
Daly City, California,106280,101123,0.051,7.6 sq mi,19.7 km2,"14,009/sq mi","5,409/km2",37.7009°N 122.4650°W
Boulder, Colorado,105673,97385,0.0851,24.8 sq mi,64.2 km2,"4,358/sq mi","1,683/km2",40.0270°N 105.2519°W
Allen, Texas,105623,84246,0.2537,27.1 sq mi,70.2 km2,"3,715/sq mi","1,434/km2",33.0997°N 96.6631°W
West Covina, California,105101,106098,−0.94%,16.0 sq mi,41.4 km2,"6,740/sq mi","2,600/km2",34.0559°N 117.9099°W
Sparks, Nevada,105006,90264,0.1633,35.9 sq mi,93.0 km2,"2,810/sq mi","1,080/km2",39.5544°N 119.7356°W
Wichita Falls, Texas,104683,104553,0.0012,72.2 sq mi,187.0 km2,"1,450/sq mi",560/km2,33.9067°N 98.5259°W
Green Bay, Wisconsin,104578,104057,0.005,45.4 sq mi,117.6 km2,"2,316/sq mi",894/km2,44.5207°N 87.9842°W
San Mateo, California,104430,97207,0.0743,12.1 sq mi,31.3 km2,"8,592/sq mi","3,317/km2",37.5603°N 122.3106°W
Norwalk, California,103949,105549,−1.52%,9.7 sq mi,25.1 km2,"10,946/sq mi","4,226/km2",33.9076°N 118.0835°W
Rialto, California,103526,99171,0.0439,22.3 sq mi,57.8 km2,"4,633/sq mi","1,789/km2",34.1118°N 117.3883°W
Las Cruces, New Mexico,103432,97618,0.0596,76.9 sq mi,199.2 km2,"1,323/sq mi",511/km2,32.3264°N 106.7897°W
Chico, California,103301,86187,0.1986,33.3 sq mi,86.2 km2,"3,102/sq mi","1,198/km2",39.7400°N 121.8356°W
El Cajon, California,102708,99478,0.0325,14.5 sq mi,37.6 km2,"7,156/sq mi","2,763/km2",32.8017°N 116.9604°W
Burbank, California,102511,103340,−0.80%,17.4 sq mi,45.1 km2,"6,003/sq mi","2,318/km2",34.1901°N 118.3264°W
South Bend, Indiana,102026,101168,0.0085,41.4 sq mi,107.2 km2,"2,457/sq mi",949/km2,41.6769°N 86.2690°W
Renton, Washington,101751,90927,0.119,23.4 sq mi,60.6 km2,"4,314/sq mi","1,666/km2",47.4761°N 122.1920°W
Vista, California,101638,93834,0.0832,18.7 sq mi,48.4 km2,"5,436/sq mi","2,099/km2",33.1895°N 117.2386°W
Davenport, Iowa,101590,99685,0.0191,62.9 sq mi,162.9 km2,"1,631/sq mi",630/km2,41.5541°N 90.6040°W
Edinburg, Texas,101170,77100,0.3122,37.6 sq mi,97.4 km2,"2,691/sq mi","1,039/km2",26.3042°N 98.1639°W
Tuscaloosa, Alabama,101129,90468,0.1178,71.7 sq mi,185.7 km2,"1,399/sq mi",540/km2,33.2065°N 87.5346°W
Carmel, Indiana,101068,79191,0.2763,47.5 sq mi,123.0 km2,"2,128/sq mi",822/km2,39.9667°N 86.1000°W
Spokane Valley, Washington,101060,89755,0.126,37.7 sq mi,97.6 km2,"2,681/sq mi","1,035/km2",47.6733°N 117.2394°W
San Angelo, Texas,101004,93200,0.0837,59.9 sq mi,155.1 km2,"1,681/sq mi",649/km2,31.4411°N 100.4505°W
Vacaville, California,100670,92428,0.0892,29.0 sq mi,75.1 km2,"3,449/sq mi","1,332/km2",38.3539°N 121.9728°W
Clinton[ae], Michigan,100471,96796,0.038,28.1 sq mi,72.8 km2,"3,573/sq mi","1,380/km2",42.5903°N 82.9170°W
Bend, Oregon,100421,76639,0.3103,33.1 sq mi,85.7 km2,"3,034/sq mi","1,171/km2",44.0500°N 121.3000°W
Woodbridge[ad], New Jersey,100145,99585,0.0056,23.3 sq mi,60.3 km2,"4,351/sq mi","1,680/km2",40.5607°N 74.2927°W
