NAME,Rank_Total
Select MSA,0
"Abilene, TX",880.5
"Akron, OH",727
"Albany, GA",1274
"Albany-Lebanon, OR",778.5
"Albany-Schenectady-Troy, NY",690
"Albuquerque, NM",1046.5
"Alexandria, LA",983.5
"Allentown-Bethlehem-Easton, PA-NJ",756.5
"Altoona, PA",884
"Amarillo, TX",844.5
"Ames, IA",528.5
"Anchorage, AK",544.5
"Ann Arbor, MI",749.5
"Anniston-Oxford, AL",1405.5
"Appleton, WI",522.5
"Asheville, NC",391.5
"Athens-Clarke County, GA",298
"Atlanta-Sandy Springs-Alpharetta, GA",319
"Atlantic City-Hammonton, NJ",1102
"Auburn-Opelika, AL",117.5
"Augusta-Richmond County, GA-SC",866.5
"Austin-Round Rock-Georgetown, TX",404.5
"Bakersfield, CA",561
"Baltimore-Columbia-Towson, MD",527
"Bangor, ME",1158
"Barnstable Town, MA",826.5
"Baton Rouge, LA",559.5
"Battle Creek, MI",892
"Bay City, MI",1268
"Beaumont-Port Arthur, TX",989.5
"Beckley, WV",1323.5
"Bellingham, WA",510.5
"Bend, OR",248.5
"Billings, MT",718.5
"Binghamton, NY",1180.5
"Birmingham-Hoover, AL",794
"Bismarck, ND",407
"Blacksburg-Christiansburg, VA",640.5
"Bloomington, IL",526.5
"Bloomington, IN",550
"Bloomsburg-Berwick, PA",825.5
"Boise City, ID",552
"Boston-Cambridge-Newton, MA-NH",590
"Boulder, CO",730
"Bowling Green, KY",331.5
"Bremerton-Silverdale-Port Orchard, WA",810
"Bridgeport-Stamford-Norwalk, CT",743
"Brownsville-Harlingen, TX",794
"Brunswick, GA",937.5
"Buffalo-Cheektowaga, NY",806.5
"Burlington, NC",743.5
"Burlington-South Burlington, VT",946
"California-Lexington Park, MD",537
"Canton-Massillon, OH",746.5
"Cape Coral-Fort Myers, FL",150
"Cape Girardeau, MO-IL",902
"Carbondale-Marion, IL",1030.5
"Carson City, NV",1412.5
"Casper, WY",312.5
"Cedar Rapids, IA",662
"Chambersburg-Waynesboro, PA",514
"Champaign-Urbana, IL",740.5
"Charleston, WV",1281.5
"Charleston-North Charleston, SC",145
"Charlotte-Concord-Gastonia, NC-SC",275.5
"Charlottesville, VA",433.5
"Chattanooga, TN-GA",672
"Cheyenne, WY",675.5
"Chicago-Naperville-Elgin, IL-IN-WI",733
"Chico, CA",802
"Cincinnati, OH-KY-IN",695
"Clarksville, TN-KY",619.5
"Cleveland, TN",641.5
"Cleveland-Elyria, OH",887.5
"Coeur d'Alene, ID",250
"College Station-Bryan, TX",607
"Colorado Springs, CO",499
"Columbia, MO",650
"Columbia, SC",484
"Columbus, GA-AL",1037
"Columbus, IN",621.5
"Columbus, OH",374.5
"Corpus Christi, TX",555
"Corvallis, OR",792
"Crestview-Fort Walton Beach-Destin, FL",328.5
"Cumberland, MD-WV",1246
"Dallas-Fort Worth-Arlington, TX",300.5
"Dalton, GA",1031.5
"Danville, IL",1408
"Daphne-Fairhope-Foley, AL",286
"Davenport-Moline-Rock Island, IA-IL",1028
"Dayton-Kettering, OH",936
"Decatur, AL",1224
"Decatur, IL",1200
"Deltona-Daytona Beach-Ormond Beach, FL",511.5
"Denver-Aurora-Lakewood, CO",456
"Des Moines-West Des Moines, IA",401
"Detroit-Warren-Dearborn, MI",911
"Dothan, AL",914.5
"Dover, DE",566
"Dubuque, IA",573
"Duluth, MN-WI",920.5
"Durham-Chapel Hill, NC",587
"East Stroudsburg, PA",1063.5
"Eau Claire, WI",618
"El Centro, CA",652
"El Paso, TX",566.5
"Elizabethtown-Fort Knox, KY",847
"Elkhart-Goshen, IN",680
"Elmira, NY",1224.5
"Enid, OK",783
"Erie, PA",1136
"Eugene-Springfield, OR",689.5
"Evansville, IN-KY",1080.5
"Fairbanks, AK",816.5
"Fargo, ND-MN",426
"Farmington, NM",1038
"Fayetteville, NC",920
"Fayetteville-Springdale-Rogers, AR",377.5
"Flagstaff, AZ",558
"Flint, MI",1094.5
"Florence, SC",1040
"Florence-Muscle Shoals, AL",1117.5
"Fond du Lac, WI",984.5
"Fort Collins, CO",488
"Fort Smith, AR-OK",1032.5
"Fort Wayne, IN",631
"Fresno, CA",502.5
"Gadsden, AL",1101
"Gainesville, FL",673.5
"Gainesville, GA",163
"Gettysburg, PA",718.5
"Glens Falls, NY",782
"Goldsboro, NC",1042.5
"Grand Forks, ND-MN",727.5
"Grand Island, NE",721
"Grand Junction, CO",694
"Grand Rapids-Kentwood, MI",679
"Grants Pass, OR",901.5
"Great Falls, MT",995
"Greeley, CO",336
"Green Bay, WI",616
"Greensboro-High Point, NC",801
"Greenville, NC",352
"Greenville-Anderson, SC",398
"Gulfport-Biloxi, MS",1102
"Hagerstown-Martinsburg, MD-WV",469
"Hammond, LA",799
"Hanford-Corcoran, CA",989
"Harrisburg-Carlisle, PA",787
"Harrisonburg, VA",756.5
"Hartford-East Hartford-Middletown, CT",832
"Hattiesburg, MS",629.5
"Hickory-Lenoir-Morganton, NC",1011
"Hilton Head Island-Bluffton, SC",461.5
"Hinesville, GA",897.5
"Homosassa Springs, FL",1079.5
"Hot Springs, AR",891
"Houma-Thibodaux, LA",834
"Houston-The Woodlands-Sugar Land, TX",273.5
"Huntington-Ashland, WV-KY-OH",1161.5
"Huntsville, AL",557.5
"Idaho Falls, ID",727
"Indianapolis-Carmel-Anderson, IN",706
"Iowa City, IA",516.5
"Ithaca, NY",702
"Jackson, MI",943
"Jackson, MS",708.5
"Jackson, TN",1038.5
"Jacksonville, FL",469
"Jacksonville, NC",627.5
"Janesville-Beloit, WI",942.5
"Jefferson City, MO",972.5
"Johnson City, TN",898.5
"Johnstown, PA",1313
"Jonesboro, AR",603
"Joplin, MO",779.5
"Kahului-Wailuku-Lahaina, HI",763
"Kalamazoo-Portage, MI",708
"Kankakee, IL",938.5
"Kansas City, MO-KS",529.5
"Kennewick-Richland, WA",674.5
"Killeen-Temple, TX",542.5
"Kingsport-Bristol, TN-VA",1120
"Kingston, NY",953
"Knoxville, TN",678
"Kokomo, IN",1126.5
"La Crosse-Onalaska, WI-MN",688
"Lafayette, LA",841
"Lafayette-West Lafayette, IN",520.5
"Lake Charles, LA",509.5
"Lake Havasu City-Kingman, AZ",1181.5
"Lakeland-Winter Haven, FL",733
"Lancaster, PA",729.5
"Lansing-East Lansing, MI",815.5
"Laredo, TX",199
"Las Cruces, NM",955
"Las Vegas-Henderson-Paradise, NV",612.5
"Lawrence, KS",766.5
"Lawton, OK",1050
"Lebanon, PA",549.5
"Lewiston, ID-WA",848
"Lewiston-Auburn, ME",978.5
"Lexington-Fayette, KY",472.5
"Lima, OH",970.5
"Lincoln, NE",690.5
"Little Rock-North Little Rock-Conway, AR",595
"Logan, UT-ID",613.5
"Longview, TX",747
"Longview, WA",1069
"Los Angeles-Long Beach-Anaheim, CA",719.5
"Louisville/Jefferson County, KY-IN",666
"Lubbock, TX",672
"Lynchburg, VA",772
"Macon-Bibb County, GA",1129
"Madera, CA",808.5
"Madison, WI",642
"Manchester-Nashua, NH",1013.5
"Manhattan, KS",939
"Mankato, MN",884.5
"Mansfield, OH",1236.5
"McAllen-Edinburg-Mission, TX",594
"Medford, OR",793.5
"Memphis, TN-MS-AR",964
"Merced, CA",607.5
"Miami-Fort Lauderdale-Pompano Beach, FL",385.5
"Michigan City-La Porte, IN",1309.5
"Midland, MI",558.5
"Midland, TX",423
"Milwaukee-Waukesha, WI",819.5
"Minneapolis-St. Paul-Bloomington, MN-WI",767
"Missoula, MT",651.5
"Mobile, AL",1047.5
"Modesto, CA",522
"Monroe, LA",836.5
"Monroe, MI",1104.5
"Montgomery, AL",970
"Morgantown, WV",250
"Morristown, TN",1065.5
"Mount Vernon-Anacortes, WA",777
"Muncie, IN",1277.5
"Muskegon, MI",866.5
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",489
"Napa, CA",443
"Naples-Marco Island, FL",393
"Nashville-Davidson--Murfreesboro--Franklin, TN",301.5
"New Bern, NC",1187
"New Haven-Milford, CT",1060.5
"New Orleans-Metairie, LA",1066
"New York-Newark-Jersey City, NY-NJ-PA",609.5
"Niles, MI",980.5
"North Port-Sarasota-Bradenton, FL",431
"Norwich-New London, CT",1194
"Ocala, FL",836
"Ocean City, NJ",1214.5
"Odessa, TX",619.5
"Ogden-Clearfield, UT",579
"Oklahoma City, OK",541.5
"Olympia-Lacey-Tumwater, WA",582
"Omaha-Council Bluffs, NE-IA",724.5
"Orlando-Kissimmee-Sanford, FL",245
"Oshkosh-Neenah, WI",804.5
"Owensboro, KY",853.5
"Oxnard-Thousand Oaks-Ventura, CA",973.5
"Palm Bay-Melbourne-Titusville, FL",978
"Panama City, FL",384.5
"Parkersburg-Vienna, WV",1336.5
"Pensacola-Ferry Pass-Brent, FL",810
"Peoria, IL",1213
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",748.5
"Phoenix-Mesa-Chandler, AZ",411.5
"Pine Bluff, AR",1444.5
"Pittsburgh, PA",911.5
"Pittsfield, MA",899.5
"Pocatello, ID",1134
"Port St. Lucie, FL",658.5
"Portland-South Portland, ME",989
"Portland-Vancouver-Hillsboro, OR-WA",376.5
"Prescott Valley-Prescott, AZ",608
"Providence-Warwick, RI-MA",962
"Provo-Orem, UT",453
"Pueblo, CO",816.5
"Punta Gorda, FL",658.5
"Racine, WI",1166.5
"Raleigh-Cary, NC",196
"Rapid City, SD",697.5
"Reading, PA",692.5
"Redding, CA",1162
"Reno, NV",775.5
"Richmond, VA",569
"Riverside-San Bernardino-Ontario, CA",549.5
"Roanoke, VA",806
"Rochester, MN",919.5
"Rochester, NY",953
"Rockford, IL",1239
"Rocky Mount, NC",1017.5
"Rome, GA",1099.5
"Sacramento-Roseville-Folsom, CA",697.5
"Saginaw, MI",1183.5
"Salem, OR",667
"Salinas, CA",840
"Salisbury, MD-DE",633.5
"Salt Lake City, UT",564
"San Angelo, TX",653
"San Antonio-New Braunfels, TX",290.5
"San Diego-Chula Vista-Carlsbad, CA",475
"San Francisco-Oakland-Berkeley, CA",402
"San Jose-Sunnyvale-Santa Clara, CA",377.5
"San Luis Obispo-Paso Robles, CA",422
"Santa Cruz-Watsonville, CA",974
"Santa Fe, NM",886
"Santa Maria-Santa Barbara, CA",756
"Santa Rosa-Petaluma, CA",553
"Savannah, GA",357.5
"Scranton--Wilkes-Barre, PA",1036
"Seattle-Tacoma-Bellevue, WA",292
"Sebastian-Vero Beach, FL",552.5
"Sebring-Avon Park, FL",975.5
"Sheboygan, WI",984
"Sherman-Denison, TX",740
"Shreveport-Bossier City, LA",1042
"Sierra Vista-Douglas, AZ",1343
"Sioux City, IA-NE-SD",1095.5
"Sioux Falls, SD",482
"South Bend-Mishawaka, IN-MI",878.5
"Spartanburg, SC",778
"Spokane-Spokane Valley, WA",851.5
"Springfield, IL",1050.5
"Springfield, MA",906.5
"Springfield, MO",501.5
"Springfield, OH",1055.5
"St. Cloud, MN",536
"St. George, UT",255.5
"St. Joseph, MO-KS",749.5
"St. Louis, MO-IL",902
"State College, PA",469.5
"Staunton, VA",969
"Stockton, CA",615
"Sumter, SC",1295
"Syracuse, NY",1056
"Tallahassee, FL",872
"Tampa-St. Petersburg-Clearwater, FL",604.5
"Terre Haute, IN",1226.5
"Texarkana, TX-AR",905
"The Villages, FL",359
"Toledo, OH",1085
"Topeka, KS",976
"Trenton-Princeton, NJ",829
"Tucson, AZ",753.5
"Tulsa, OK",697
"Tuscaloosa, AL",782.5
"Twin Falls, ID",588.5
"Tyler, TX",448
"Urban Honolulu, HI",731
"Utica-Rome, NY",1154
"Valdosta, GA",889
"Vallejo, CA",691.5
"Victoria, TX",798.5
"Vineland-Bridgeton, NJ",1036
"Virginia Beach-Norfolk-Newport News, VA-NC",902
"Visalia, CA",791.5
"Waco, TX",556.5
"Walla Walla, WA",744.5
"Warner Robins, GA",817
"Washington-Arlington-Alexandria, DC-VA-MD-WV",578.5
"Waterloo-Cedar Falls, IA",856.5
"Watertown-Fort Drum, NY",1048.5
"Wausau-Weston, WI",886.5
"Weirton-Steubenville, WV-OH",1306
"Wenatchee, WA",499.5
"Wheeling, WV-OH",848
"Wichita Falls, TX",1100.5
"Wichita, KS",592
"Williamsport, PA",895
"Wilmington, NC",441
"Winchester, VA-WV",576.5
"Winston-Salem, NC",925
"Worcester, MA-CT",795
"Yakima, WA",876.5
"York-Hanover, PA",893
"Youngstown-Warren-Boardman, OH-PA",1353
"Yuba City, CA",1068.5
"Yuma, AZ",862
